collision_id,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,vehicle_type_code1
4514419,2022-03-25,14:00,UNKNOWN,,40.61763,-74.133575,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4514234,2022-03-21,19:13,UNKNOWN,,40.731407,-73.99698,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513496,2022-03-26,5:02,BROOKLYN,11223.0,40.60784,-73.961975,0,0,FELL ASLEEP,STATION WAGON/SPORT UTILITY VEHICLE
4514266,2022-03-25,9:45,UNKNOWN,,40.752563,-73.74328,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4513680,2022-03-26,22:54,BROOKLYN,11217.0,40.67848,-73.98232,0,0,FAILURE TO YIELD RIGHT-OF-WAY,TAXI
4513861,2022-03-26,21:00,BROOKLYN,11219.0,40.629475,-74.004166,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4514326,2022-03-26,17:29,BROOKLYN,11213.0,40.668797,-73.93113,1,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4513739,2022-03-26,2:10,MANHATTAN,10018.0,40.754707,-73.99164,1,0,FAILURE TO YIELD RIGHT-OF-WAY,BIKE
4514180,2022-03-25,0:00,BRONX,10458.0,40.85713,-73.8808,0,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4514209,2022-03-26,4:00,BRONX,10468.0,40.857418,-73.89996,0,0,UNSAFE SPEED,STATION WAGON/SPORT UTILITY VEHICLE
4513795,2022-03-26,4:34,QUEENS,11385.0,40.702972,-73.888054,0,0,UNSAFE SPEED,SEDAN
4514297,2022-03-09,11:56,UNKNOWN,,40.786366,-73.97598,1,0,FAILURE TO YIELD RIGHT-OF-WAY,STATION WAGON/SPORT UTILITY VEHICLE
4513572,2022-03-26,14:41,BROOKLYN,11228.0,40.624474,-74.00668,0,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4513591,2022-03-26,18:00,QUEENS,11361.0,40.76532,-73.771904,0,0,UNSPECIFIED,SEDAN
4514011,2022-03-26,13:30,UNKNOWN,,40.597683,-73.96686,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513701,2022-03-26,13:20,STATEN ISLAND,10305.0,40.609768,-74.06969,1,0,TRAFFIC CONTROL DISREGARDED,STATION WAGON/SPORT UTILITY VEHICLE
4514155,2022-03-25,21:35,MANHATTAN,10035.0,40.798286,-73.938705,0,0,FOLLOWING TOO CLOSELY,TAXI
4514334,2022-03-23,21:00,QUEENS,11354.0,40.776764,-73.848015,0,0,UNSPECIFIED,SEDAN
4513548,2022-03-26,12:00,QUEENS,11377.0,40.747498,-73.91309,0,0,UNSPECIFIED,SEDAN
4514046,2022-03-26,13:28,BROOKLYN,11206.0,40.701637,-73.942276,1,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4513581,2022-03-26,19:12,QUEENS,11419.0,40.69349,-73.826546,0,0,UNSAFE SPEED,STATION WAGON/SPORT UTILITY VEHICLE
4513772,2022-03-26,21:29,QUEENS,11374.0,40.726463,-73.85943,1,0,UNSAFE SPEED,BIKE
4514221,2022-03-25,13:21,BRONX,10458.0,40.856434,-73.886826,1,0,DRIVER INATTENTION/DISTRACTION,SEDAN
